layer,type,level,polytilesetname,polylayername,pointtilesetname,pointlayername,id,feature_id,wikidata_id,worldview,unit_code,name,name_en,names,description,source_date,iso_3166_1_alpha_3,iso_3166_1,grouping_attributes,join_attributes,parent_1,parent_2,parent_3,parent_4,z_min,area_sqkm,centroid,bounds
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP375,6366953,,all,75,,,,2-digit postcode area,2018,USA,US,,,,,,,0,100999,"[-95.4064,32.2348]","[-97.1834,30.4739,-93.508,33.9627]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP376,861929,,all,76,,,,2-digit postcode area,2018,USA,US,,,,,,,0,162112,"[-98.0561,32.2503]","[-102.2982,29.9867,-96.2946,34.4588]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP377,730857,,all,77,,,,2-digit postcode area,2018,USA,US,,,,,,,0,75332,"[-95.1443,29.848]","[-97.7661,28.0641,-93.6882,31.3936]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP378,599785,,all,78,,,,2-digit postcode area,2018,USA,US,,,,,,,0,169983,"[-98.9431,28.4497]","[-102.4427,25.8372,-96.2436,30.9991]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP379,468713,,all,79,,,,2-digit postcode area,2018,USA,US,,,,,,,0,300111,"[-101.2401,32.8159]","[-106.6456,28.9717,-99.1652,36.5006]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP380,5056233,,all,80,,,,2-digit postcode area,2018,USA,US,,,,,,,0,135897,"[-104.2673,39.7604]","[-107.2224,38.4038,-101.9472,41.0907]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP381,4925161,,all,81,,,,2-digit postcode area,2018,USA,US,,,,,,,0,213490,"[-107.7079,39.1717]","[-109.2712,36.7014,-101.8806,41.5579]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP382,4794089,,all,82,,,,2-digit postcode area,2018,USA,US,,,,,,,0,316310,"[-107.077,43.0026]","[-111.0569,40.7842,-103.8697,45.0587]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP383,4663017,,all,83,,,,2-digit postcode area,2018,USA,US,,,,,,,0,311229,"[-115.1876,45.4112]","[-117.243,41.5775,-109.849,49.0009]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP384,4597481,,all,84,,,,2-digit postcode area,2018,USA,US,,,,,,,0,292604,"[-111.5498,39.2939]","[-114.0529,36.404,-108.8154,42.08]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP385,4531945,,all,85,,,,2-digit postcode area,2018,USA,US,,,,,,,0,190160,"[-111.863,33.2719]","[-114.8166,31.3322,-109.0454,35.1707]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP386,4466409,,all,86,,,,2-digit postcode area,2018,USA,US,,,,,,,0,158905,"[-111.8557,35.5214]","[-114.7547,34.0131,-109.0069,37.0016]"
